image,n_objects,n_fg_px,snr_mean,snr_median,snr_pooled,cnr_mean,cnr_median,cnr_pooled,weber_contrast_mean,weber_contrast_median,weber_contrast_pooled,mu_F_pooled,mu_B_pooled,sigma_B_mad_pooled,n_bg_px_pooled
A139 - Site 5.tif,5,252792,4.081844817024704,3.9431767456634517,3.0115481502606696,-0.0166884519359237,0.3830202563326554,0.5737308047517342,0.05803887951858511,0.06847329523105024,0.23534609997012323,151.80732380771542,122.8864719037308,50.4084,140855
A140 - Site 11.tif,3,142222,4.494215672468308,5.087571173549415,4.655419427859688,0.8895114606216467,0.9438368206718561,0.8292322084633663,0.2629710524012527,0.22984980039271605,0.21672546606064533,96.62974785898103,79.4178724389397,20.7564,86390
A30_Site1.tif,28,130047,3.379750992549442,3.3063992801850945,3.083747958128394,1.054863532426545,0.9969998162120051,1.0827397349260606,0.4625939035137555,0.4595547063446182,0.5410970941402535,31724.86321099295,20585.895159763564,10287.7614,237695
A30_Site2.tif,20,92679,3.2687346746734347,3.2157958316047193,2.9221262435798887,0.9218548053828431,0.7595915905818058,0.8663934951964932,0.39620604845096724,0.34754396040205526,0.42145239738845885,35629.20008847743,25065.348761543057,12192.902399999999,169041
A30_Site3.tif,35,200731,3.127455002799065,3.1577341487696167,2.8359852804095027,0.9088545502094897,0.8701583728535639,0.8925740920496585,0.41082343415572736,0.3723617169739403,0.45928216189935506,36740.072465139914,25176.811876680254,12954.958799999999,368992
A30_Site4.tif,32,129466,3.572783292681185,3.381208648483625,2.684079596980229,1.1327996031459198,1.101307688700827,0.68755791301996,0.46335190899178164,0.40670454661047983,0.3443778840687814,32726.720559838104,24343.394032031167,12192.902399999999,221784
A30_Site5.tif,16,58809,3.6131071525647243,3.4563518971125147,2.8803165238394923,1.13642948874802,1.1007495231835254,0.8207151137516547,0.4667604990297071,0.4856386965160013,0.39848249750243925,37314.38189732864,26682.051412130433,12954.958799999999,151190
A31_Site1.tif,20,55304,2.9345921153358896,2.69558230789384,2.7268615860701426,0.679217939754529,0.6085902160419876,0.6634776760724945,0.3073455835566149,0.2646010282787091,0.3215483424375928,24936.267882974105,18868.978971269415,9144.6768,165155
A31_Site2.tif,30,277857,3.2407190542569135,3.159899038959679,2.859447131562956,0.9670353402648257,0.8975069563118001,0.9137522099004409,0.4183279827702217,0.38035509030800263,0.4696276891750598,31604.8486451664,21505.343753357236,11052.783,400255
A31_Site3.tif,19,168912,2.9208882385234967,2.925359424801126,2.6590604951618553,0.6734241132484443,0.6195654783460883,0.7555280223361178,0.2992936947254593,0.2815427969720479,0.3969083969522062,27383.3761840485,19602.843138311684,10298.139599999999,204097
