image,split,Segmentation Quality,Filter Loading,Asbestos Present,Asbestos Type,accuracy,precision,recall,specificity,dice,iou,tversky,f2,tp,fp,fn,tn,match_status,matched_sample_id,parsed_site_number,Origin of data,Sampling position,Environment,Pump Flow (L/min),Volume sampled (L; dm3),"Frame Width, px","Frame Height, px","Pixel Resolution, nm/px","Images needed to find 3 fibers at 0.003 f/cm3, #",Minimum number of fibres for early termination,Filter Coverage (%),Median Otsu Coverage (%),GT Foreground Fraction (%),Frames Analyzed,Acquired Spectra,"Analyzed volume, cm3",Asbestos Counted,WHO Asbestos Counted,"Airborne WHO Asbestos Concentration, fibers/cm3",8 hr TWA,Sample Notes,n_objects,n_fg_px,snr_mean,snr_median,snr_pooled,cnr_mean,cnr_median,cnr_pooled,weber_contrast_mean,weber_contrast_median,weber_contrast_pooled,mu_F_pooled,mu_B_pooled,sigma_B_mad_pooled,n_bg_px_pooled,mask_quality,filter_loading,asbestos
A33_15.00kV_0.20nA_39.7nm_50.00ns_008.tif,train,,,False,,0.9976905015577984,0.5609665221216745,0.9621723050145544,0.997794526893542,0.7087291611371441,0.5488617413224317,0.7921973675518601,0.8417654210254392,70762.0,55381.0,2782.0,25055331.0,ambiguous_no_site_in_filename,A33,,,,,,,,,,,,,0.2201692994226234,0.2920237151337724,,,,,,,,,2,73544,3.950146394567425,3.950146394567425,3.916281402981519,1.9856773829404937,1.9856773829404937,2.0310503767439188,1.014488388729475,1.014488388729475,1.077348265676622,185.8009218970956,89.44139264284803,47.4432,54831,4,low,True
A112 - Site 5.tif,train,,,False,,0.9983777132901244,0.834240863379527,0.92903578257256,0.9988207082102616,0.8790902041869013,0.7842648957753254,0.8984098473237369,0.9083916457453226,17006.0,3379.0,1299.0,2861900.0,matched_unique_sample,A112,5.0,Asbyg,NF,Indoor,1.9,493.9999999999999,8192.0,5632.0,50.0,9.0,9.0573879031108,5.6,1.4243386008522727,0.6348003040660511,3.0,289.0,348.2365178560515,123.0,62.0,0.1780399148880433,0.0964382872310234,,5,18305,4.718649268074255,4.482900832864323,3.990291016722068,1.1236587417914912,1.1511402625970382,1.059865136111967,0.3322918561612636,0.3175827179533355,0.3616761451047959,147.90013657470635,108.61623529411764,37.065,42500,4,medium,True
A33_20.00kV_50pA_39.7nm_25.00ns_013.tif,train,,,False,,0.992043838817394,0.7502353367727304,0.8998675406853393,0.9939158456214948,0.8182670749316058,0.692429784745354,0.8490645234151323,0.8653492735218141,451091.0,150175.0,50195.0,24532795.0,ambiguous_no_site_in_filename,A33,,,,,,,,,,,,,0.1877958991522322,1.990473730889648,,,,,,,,,6,501286,2.296830684788778,2.233358779132718,2.049907252680537,0.7049114934805624,0.7036911546315647,0.5986753219279615,0.4475211208748875,0.4528093303670402,0.4125290445931512,164.11639463300392,116.1862088833358,80.0604,308938,3,low,True
A51_15.00kV_50pA_25.0nm_1.00µs_074.tif,train,,,False,,0.9944794875020324,0.5049304526681696,0.6605749501231364,0.9963574048565028,0.5723601242656156,0.4009135174731589,0.6046592033107688,0.622215445441782,93040.0,91223.0,47807.0,24952186.0,matched_unique_sample,A51,,Asbyg,Personal,Outdoor,1.9,146.3000000000001,8192.0,5632.0,50.0,30.0,2.6823802636135863,4.3,11.713675401012445,0.5592660748048305,15.0,94.0,515.6579206714612,4.0,3.0,0.0058178103733839,0.000933273747397,,21,140847,3.671723119007775,3.356288576094503,3.0851658736164307,0.8896572922344397,0.8333792641095222,0.7663669442989384,0.3596018178297363,0.3712886170802414,0.3305016810914548,219.5552123935902,165.01686206828143,71.1648,151227,2,high,False
A82 - Site 1.tif,train,,,False,,0.9971497709100896,0.4905560681036446,0.9211011197026,0.9973596807987488,0.6401720580750554,0.4707743077913526,0.7291229058705601,0.7835600949558608,116978.0,121482.0,10020.0,45888864.0,ambiguous_site_not_found,A82,1.0,,,,,,,,,,,,1.4749223535711116,0.2752607518976385,,,,,,,,,22,126998,3.618359992740289,3.5821340768705623,3.99928778988037,1.2896211308169043,1.1321482320242358,1.7408958338000975,0.5691596014615534,0.4800936598939471,0.7708563737629457,47250.94295185751,26682.53826336286,11814.8394,233670,4,medium,True
A61 - Site 1.tif,train,,,False,,0.9994814179160376,0.3642928863828051,0.5582317434012556,0.9996430867125612,0.4408767994016543,0.2827722653555914,0.4813540986281018,0.5045140448836719,9433.0,16461.0,7465.0,46103985.0,matched_unique_sample,A61,1.0,Asbyg,Personal,Indoor,1.9,254.5999999999998,8192.0,5632.0,50.0,17.0,4.668038380834025,23.7,0.7713708010586825,0.0366254286332563,5.0,72.0,299.1262396968645,5.0,5.0,0.0167153506996478,0.004666368736985,,8,16898,3.229206946525756,3.2551124001344838,3.329635196319827,1.0907106306924554,0.9471294626941428,1.25824509301445,0.5126591215601151,0.4332103644000972,0.6074399462496708,38060.54716534501,23677.74127682857,11430.846,40209,3,medium,True
A104 - Site 22.tif,train,,,False,,0.997097015380856,0.861645476935079,0.8600139520975119,0.9985431828703224,0.8608289414618928,0.7556625802683142,0.8605027604290181,0.8603397625914966,25889.0,4157.0,4214.0,2849324.0,matched_unique_sample,A104,22.0,Asbyg,Personal,Indoor,1.9,121.6000000000002,8192.0,5632.0,50.0,35.0,2.229510868458048,17.9,0.5799727006392045,1.043943925337358,10.0,166.0,285.73252747163247,45.0,36.0,0.125991955898595,0.0167989274531459,,5,30103,5.409643500876524,5.152155337104805,4.747491881968079,1.0950249962106335,1.1477258491536095,1.2992562873175906,0.2736974972523834,0.2866140738477784,0.3767887232350752,91.50220908215128,66.46060323865694,19.2738,57987,4,medium,True
b_E200175-12116-L_26.tif,train,,,False,,0.999341102339944,0.1193441186136948,0.9634433962235748,0.9993444126285128,0.2123801787164216,0.1188061220779733,0.3086134116510925,0.399013455104784,3268.0,24115.0,124.0,36759693.0,no_sample_prefix_match,,,,,,,,,,,,,,0.6469886264787752,0.0092205984690327,,,,,,,,,3,3392,4.695426077858942,4.726821447848597,4.852904112194912,1.8576774895762105,1.2214565237278652,2.209679477836173,0.6803591250334886,0.6575077877223089,0.835978693939263,187.0678066037736,101.88996594183914,38.5476,11451,1,low,False
A37 - Site 6.tif,train,,,False,,0.9980014020746404,0.3093362628458103,0.9176277532528446,0.9980768461856824,0.4626957859406778,0.3009786753390264,0.5771489542327003,0.6586058516938109,39703.0,88646.0,3564.0,46005431.0,ambiguous_site_not_found,A37,6.0,,,,,,,,,,,,1.4360471205277876,0.0937786969271573,,,,,,,,,27,43267,3.748548106865676,3.652197947688926,3.466712028952545,1.3506836324626976,1.2059740534223082,1.2871781070331143,0.5601387533104356,0.5601946945626096,0.5905749362684716,35664.70619640835,22422.52495193513,10287.7614,131593,2,high,False
A53 - Site 2.tif,train,,,False,,0.9953380931507424,0.7085881343201619,0.9110942511291128,0.996193845204224,0.7971816961118877,0.6627615272689121,0.8391486225940777,0.8618338639803185,26419.0,10865.0,2578.0,2843722.0,matched_unique_sample,A53,2.0,Asbyg,Personal,Outdoor,1.9,140.6000000000001,8192.0,5632.0,50.0,31.0,2.577871941654615,1.6,1.174892078746449,1.005588878284801,13.0,14.0,429.4917053557973,6.0,6.0,0.0139700020400382,0.0021537086478392,,1,28997,3.7946884375034746,3.7946884375034746,3.7946884375034746,1.0862135383398286,1.0862135383398286,1.0862135383398286,0.4010424976339404,0.4010424976339404,0.4010424976339404,37592.965927509744,26832.13820493823,9906.7332,58037,4,low,True
a_E200175-12116-L_13.tif,train,,,False,,0.9998483439892134,0.4195945095070903,0.7745234774505474,0.9998746972030316,0.544311034876628,0.3739198743122276,0.6177577544160451,0.662451787347146,3332.0,4609.0,970.0,36778289.0,no_sample_prefix_match,,,,,,,,,,,,,,0.287407032881002,0.0116942849686847,,,,,,,,,1,4302,6.477653825606772,6.477653825606772,6.477653825606772,3.380339986094284,3.380339986094284,3.380339986094284,1.0913779361537432,1.0913779361537432,1.0913779361537432,230.49046954904696,110.2098599940423,35.5824,6714,1,very low,False
A112_007.tif,train,,,False,,0.9991324814883144,0.3900308651795606,0.9356513110183062,0.99916855238223,0.5505586435348324,0.3798419584753053,0.659060298035412,0.731101408820293,24515.0,38339.0,1686.0,46072804.0,matched_unique_sample,A112,,Asbyg,NF,Indoor,1.9,493.9999999999999,8192.0,5632.0,50.0,9.0,9.0573879031108,5.6,0.3265250812877308,0.0567891381003639,3.0,289.0,348.2365178560515,123.0,62.0,0.1780399148880433,0.0964382872310234,,19,26201,3.309627881066825,3.260777433290932,3.365759852319721,1.207514280510173,1.2380332750727818,1.35199944319483,0.5848811601479942,0.5913283962120209,0.671380486442842,164.6724934162818,98.5248390449002,48.9258,83719,1,high,False
A13 - Site 8.tif,train,,,False,,0.9963748671791768,0.4007897176197557,0.847810401758737,0.996755182478259,0.5442794474264858,0.3738900618420716,0.6352519751846939,0.6931822756100071,99878.0,149325.0,17929.0,45870212.0,ambiguous_site_not_found,A13,8.0,,,,,,,,,,,,0.8218375119295988,0.2553397958928888,,,,,,,,,32,117807,4.2522089687450295,4.095260756309575,4.076339368628574,1.767164051210735,1.669473877054605,1.627360561367886,0.715659977739097,0.671059118675541,0.6645057754449923,35176.6617433599,21133.397229546445,8629.4733,210868,3,high,True
b_E200175-12116-L_14.tif,train,,,False,,0.9990525237038969,0.3198326432021394,0.8172149666607057,0.9991422678196252,0.4597380454157235,0.2984804266880752,0.5572401769038198,0.6233397222501914,14830.0,31538.0,3317.0,36737515.0,no_sample_prefix_match,,,,,,,,,,,,,,0.7857624391092555,0.0493296581419624,,,,,,,,,8,18147,3.8586243154670488,4.177697658317324,3.8695037178044256,1.73646984918375,1.8716514695096893,1.636547900488108,0.8336276792796264,0.8532838172619543,0.7329065302510404,131.94930291508237,76.14334680165251,34.099799999999995,44054,2,medium,False
A124 - Site 22.tif,train,,,False,,0.9894624189896984,0.5249659918378311,0.4147752418282813,0.995836883535823,0.4634103270466089,0.301583653205162,0.4426489440657031,0.4329505708440286,13121.0,11873.0,18513.0,2840077.0,matched_unique_sample,A124,22.0,Asbyg,Personal,Indoor,1.9,171.0,8192.0,5632.0,50.0,25.0,3.135249658769124,25.5,5.117624456232244,1.0970375754616477,5.0,67.0,200.9056833784913,24.0,23.0,0.1144815796806988,0.021465296190131,,2,31634,6.364484633278128,6.364484633278128,3.653964243687189,1.3607630950401637,1.3607630950401637,0.6735739752790597,0.2680090260758296,0.2680090260758296,0.226001937512233,108.34734779035216,88.37453226864174,29.652,25923,4,very high,True
A36 - Site 2.tif,train,,,False,,0.9973384250294076,0.3405369228267047,0.7581534605207133,0.9977112823656836,0.4699763470934345,0.3071693344090641,0.5542445627165289,0.608826831635766,54443.0,105431.0,17367.0,45960103.0,ambiguous_site_not_found,A36,2.0,,,,,,,,,,,,1.6067634929310193,0.1556439833207563,,,,,,,,,22,71810,3.4987299339642832,3.516041214247009,3.138954877597217,1.1488060369832716,1.1097415496942806,0.8979277370184928,0.4872152384956308,0.443409551131064,0.4006768685479963,37076.94013368612,26470.73066332402,11811.8742,145992,1,high,False
