image,object_id,area_px,mu_F,mu_B,sigma_B_mad,n_bg_px,snr,cnr,weber_contrast
A112 - 220.tif,9,388,140.340206185567,92.61167512690355,40.0302,2364,3.5058582307984576,1.1923130797932644,0.5153619237327107
A112 - 220.tif,10,608,114.8470394736842,90.71593366979091,37.065,2774,3.0985306742937784,0.651048315051472,0.26600735752851606
A112 - 220.tif,11,632,130.1139240506329,117.14269535673839,57.8214,2649,2.250272806056757,0.22433266388657472,0.11073015396551633
A112 - 220.tif,12,1199,124.8673894912427,108.52498606724875,38.547599999999996,5383,3.2393038596138197,0.42395384977934863,0.15058655167540252
A112 - 220.tif,13,1592,113.08605527638191,94.97253787878788,34.099799999999995,5280,3.316326055965685,0.5311913088136038,0.1907237376219727
A112 - 220.tif,14,9846,155.00385943530367,101.97201068143606,38.547599999999996,30333,4.021102724815362,1.3757496897371073,0.5200627936457999
A112 - 220.tif,15,9238,152.10705780471963,92.2177174384725,38.547599999999996,16131,3.9459540351477163,1.553646409911659,0.649434208775671
A112 - 220.tif,16,1452,181.99724517906336,127.02727693018956,57.8214,4326,3.1475759000575496,0.9506855288762801,0.43274145185963686
A112 - 220.tif,17,1641,125.89762340036563,91.59978908515687,38.547599999999996,7586,3.2660301385223813,0.889752781141011,0.37443136773578206
A112 - 220.tif,18,380,174.49736842105264,140.34978540772534,63.751799999999996,1864,2.737136338012123,0.5356332371473586,0.24330342160262874
A112 - 220.tif,19,1276,159.61755485893417,116.8262846748522,41.5128,4398,3.8450202063094747,1.0307970113741785,0.3662811866311993
A112 - 220.tif,20,1256,171.1544585987261,107.76601520086862,38.547599999999996,5526,4.4400807976197045,1.6444199737834078,0.5882043914663044
A112 - 220.tif,21,3868,170.9552740434333,75.46182167440371,32.6172,6247,5.241261481396953,2.9277023269855342,1.2654538445732484
A112 - 220.tif,22,6986,163.60263383910677,102.7196374239351,37.065,15776,4.413938588829553,1.642600739208031,0.5927103904969392
A112 - 220.tif,23,668,125.33083832335329,85.5550397877984,35.5824,3016,3.522270512616647,1.1178503564789442,0.46491473359794333
A112 - 220.tif,24,1442,155.8377253814147,104.01805054151625,40.0302,3878,3.8930039156058345,1.2945145122171091,0.4981796386794821
A112 - 220.tif,25,160,153.4625,144.27372262773721,62.2692,1918,2.4645009085608134,0.14756536732103734,0.0636898889434999
A112 - 220.tif,26,1587,135.3074984247007,96.73934793858892,37.065,5797,3.6505462940292794,1.040554444238668,0.3986811086075172
A112 - 220.tif,27,566,151.3992932862191,110.63636363636364,53.373599999999996,3223,2.836595119269698,0.7637283159130763,0.3684406130713899
A112 - 220.tif,28,359,125.29247910863509,90.58670192670948,34.099799999999995,2647,3.674287798517652,1.0177706957738142,0.3831222071223392
A112 - 220.tif,29,1061,199.92836946277097,144.0667469879518,62.2692,4150,3.2107104223382326,0.8970987657758279,0.3877482044875585
A112 - 220.tif,30,1749,129.02001143510577,97.70715297450425,47.4432,8472,2.71946267131878,0.6600073025007049,0.32047662329868054
A112 - 221.tif,1,17042,153.85201267456873,104.65881630145402,41.5128,19532,3.7061343161026814,1.1850127276710936,0.470033945603978
A112 - 221.tif,2,630,166.03650793650795,109.63163064833006,45.9606,3054,3.6125835585345296,1.227244145548697,0.5144945573596841
A112 - 221.tif,3,5342,144.3322725570947,107.23303144398086,51.891,9827,2.781450974721632,0.7149455802733498,0.34596840740285345
A112 - 221.tif,4,853,137.28604923798358,85.03458353628835,38.547599999999996,4106,3.5614681381556546,1.3555050298368816,0.614473118143188
A112 - 221.tif,5,394,149.86802030456852,105.33452084075526,56.3388,2807,2.660120916277367,0.7904587860570099,0.4227816209171464
A112 - 221.tif,6,458,140.03275109170306,98.50469992769342,32.6172,2766,4.293218027567384,1.2731948527549175,0.42158446439892844
A112 - 221.tif,7,2252,108.4835701598579,94.540344660976,35.5824,6209,3.0487985669704663,0.3918573647354683,0.14748439459796564
A112 - 221.tif,8,519,119.41425818882466,98.94050766790058,48.925799999999995,3782,2.4407216267167313,0.4184653192536337,0.20692991173621317
A112 - 221.tif,9,5579,184.7809643305252,93.21725331794576,38.547599999999996,6932,4.793578959068514,2.375341421744182,0.982261413457989
A112 - 221.tif,10,2105,151.93824228028504,97.00521811730327,48.925799999999995,4791,3.1054830426734,1.122782338801899,0.5662893731231168
A112 - 221.tif,11,2299,180.90952588081774,140.71557155715573,77.09519999999999,5555,2.346573144078387,0.5213548225888054,0.28563970480324324
A112 - 221.tif,12,554,137.39350180505414,84.33154574132492,47.4432,3170,2.8959577300033423,1.1184312199123356,0.6292064919596898
A112 - 221.tif,13,1262,156.26069730586372,97.02768817204301,42.9954,3720,3.6343584957814126,1.3776592174987117,0.610475321463786
A112 - 221.tif,14,10972,195.17945679912503,83.66101854466723,44.477999999999994,10623,4.3882246673691,2.5072718698993905,1.33297968613169
A112 - 221.tif,15,17047,161.2882032029096,102.35557750478425,37.065,32398,4.351496105743819,1.5899804581741686,0.575763696801116
A112 - 221.tif,16,4007,164.16021961567256,90.32035719268872,38.547599999999996,7167,4.258636583680598,1.9155501874002103,0.8175328874893525
A112 - 221.tif,17,473,149.04651162790697,114.41219290263876,38.547599999999996,3297,3.8665574922755606,0.8984818436500167,0.30271527748544935
A112 - 221.tif,18,1296,175.84490740740742,106.61900214848413,44.477999999999994,4189,3.953525504021588,1.5564077801016059,0.649282997002938
A112 - 221.tif,19,16375,150.98155725190838,102.42867688310155,38.547599999999996,33867,3.9167563535146375,1.259556505624508,0.47401647508810907
A112 - 221.tif,20,1574,140.75857687420586,73.60825741422757,40.0302,5159,3.516309607222616,1.6774914800126748,0.912266120809923
A112 - 221.tif,21,9500,161.91747368421053,103.54703025775122,53.373599999999996,13385,3.033662216037028,1.0936201308422726,0.5637094880995178
A112 - 222.tif,1,2484,135.59057971014494,96.34713813979086,38.547599999999996,7268,3.5174843485708607,1.0180514885537248,0.40731299677362826
A112 - 222.tif,2,4441,164.5050664264805,97.83171159674589,44.477999999999994,6269,3.6985715722266024,1.4990187241949826,0.6815106649441185
A112 - 222.tif,3,458,131.25327510917032,93.76942013129103,34.099799999999995,3656,3.849092225487522,1.0992397306402646,0.3997449799881338
A112 - 222.tif,4,1713,112.13251605370695,89.28473078503905,37.065,9732,3.025293835787239,0.61642480136257,0.2558980137501563
A112 - 222.tif,5,4052,152.13400789733464,103.93124574540504,44.477999999999994,8814,3.4204327501940357,1.083743921513831,0.4637947116055114
A112 - 222.tif,6,17502,196.9305793623586,95.39210559083551,44.477999999999994,16062,4.427595200280648,2.2828920758283684,1.0644326711521268
A112 - 222.tif,7,1383,118.74331164135937,96.5727643251019,35.5824,4171,3.337136101218243,0.6230762205479874,0.22957349796187831
